Order,Email,Created at,Order Date,Subtotal,Discount Amount,Lineitem name,CATEGORY,Lineitem price,open_rate,click_rate
#3811,20949416200,2020-12-01 20:13:02 +1100,12/1/2020,40,0,Tea Sampler Gift Box - With a Heart Shaped Tea Strainer,Tea Sampler Gift Box,40,20.04%,1.93%
#3810,45068280416,2020-12-01 17:54:54 +1100,12/1/2020,40,0,Tea Sampler Gift Box - With a Heart Shaped Tea Strainer,Tea Sampler Gift Box,40,88.34%,69.78%
#3809,32689867629,2020-12-01 10:39:56 +1100,12/1/2020,51.5,,Stainless Steel Tea Strainers - Heart Shaped Tea Strainer,Stainless Steel Tea Strainers,6,44.27%,30.69%
#3809,32689867629,2020-12-01 10:39:56 +1100,12/1/2020,,,Raw Australian Honey - 65g,Raw Australian Honey,5.5,51.06%,3.23%
#3809,32689867629,2020-12-01 10:39:56 +1100,12/1/2020,,0,Tea Sampler Gift Box - With a Heart Shaped Tea Strainer,Tea Sampler Gift Box,40,0.11%,0.01%
#3808,13554540982,2020-12-01 10:37:13 +1100,12/1/2020,38.5,,White Chocolate Chai - 50g,White Chocolate Chai,8.5,5.53%,1.24%
#3808,13554540982,2020-12-01 10:37:13 +1100,12/1/2020,,,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,2.01%,1.35%
#3808,13554540982,2020-12-01 10:37:13 +1100,12/1/2020,,,Honey Lip Balms and Scrubs - Honey Lip Scrub - 15g,Honey Lip Balms and Scrubs,5.5,60.13%,43.33%
#3808,13554540982,2020-12-01 10:37:13 +1100,12/1/2020,,,Honey Lip Balms and Scrubs - Honey Lip Balm - 12g,Honey Lip Balms and Scrubs,5.5,48.85%,45.84%
#3808,13554540982,2020-12-01 10:37:13 +1100,12/1/2020,,0,Honey Lip Balms and Scrubs - Choc Mint Lip Balm - 12g,Honey Lip Balms and Scrubs,5.5,41.98%,17.67%
#3807,18364627053,2020-12-01 09:52:38 +1100,12/1/2020,40,0,Tea Sampler Gift Box - With a Mesh Tea Ball Strainer,Tea Sampler Gift Box,40,43.93%,9.36%
#3806,99098872780,2020-12-01 07:52:42 +1100,12/1/2020,40,0,Tea Sampler Gift Box - With a Heart Shaped Tea Strainer,Tea Sampler Gift Box,40,71.32%,16.88%
#3805,33291009163,2020-12-01 07:49:54 +1100,12/1/2020,51.5,,Stainless Steel Tea Strainers - Heart Shaped Tea Strainer,Stainless Steel Tea Strainers,6,47.51%,33.65%
#3805,33291009163,2020-12-01 07:49:54 +1100,12/1/2020,,,Raw Australian Honey - 65g,Raw Australian Honey,5.5,21.41%,0.38%
#3805,33291009163,2020-12-01 07:49:54 +1100,12/1/2020,,0,Tea Sampler Gift Box - With a Mesh Tea Ball Strainer,Tea Sampler Gift Box,40,68.78%,51.48%
#3804,55618661750,2020-12-01 07:13:56 +1100,12/1/2020,40,0,Tea Sampler Gift Box - With a Mesh Tea Ball Strainer,Tea Sampler Gift Box,40,94.00%,22.83%
#3803,57526544701,2020-12-01 07:05:25 +1100,12/1/2020,40,0,Tea Sampler Gift Box - With a Heart Shaped Tea Strainer,Tea Sampler Gift Box,40,37.64%,1.04%
#3802,24409208450,2020-12-01 00:17:53 +1100,12/1/2020,45,,Gift wrapping Service,Gift wrapping Service,5,49.56%,22.06%
#3802,24409208450,2020-12-01 00:17:53 +1100,12/1/2020,,0,Tea Sampler Gift Box - With a Mesh Tea Ball Strainer,Tea Sampler Gift Box,40,39.50%,35.62%
#3801,96748189633,2020-12-01 00:11:52 +1100,12/1/2020,60,,Sticky Turmeric Chai - 100g,Sticky Turmeric Chai,9.5,65.16%,53.52%
#3801,96748189633,2020-12-01 00:11:52 +1100,12/1/2020,,,Rooibos Chai - 50g,Rooibos Chai,10.5,34.39%,2.54%
#3801,96748189633,2020-12-01 00:11:52 +1100,12/1/2020,,0,Tea Sampler Gift Box - With a Heart Shaped Tea Strainer,Tea Sampler Gift Box,40,75.65%,48.37%
#3800,52901938369,2020-11-30 20:32:32 +1100,11/30/2020,40,0,Tea Sampler Gift Box - With a Mesh Tea Ball Strainer,Tea Sampler Gift Box,40,59.49%,46.53%
#3799,64891241852,2020-11-30 10:29:10 +1100,11/30/2020,35,0,Beeswax Leather Polish with Cocoa Butter,Beeswax Leather Polish with Cocoa Butter,17.5,81.55%,46.92%
#3798,91548110011,2020-11-30 08:58:21 +1100,11/30/2020,43.5,,White Chocolate Chai - 50g,White Chocolate Chai,8.5,58.89%,1.01%
#3798,91548110011,2020-11-30 08:58:21 +1100,11/30/2020,,,Masala Chai - 50g,Masala Chai,8,68.94%,13.16%
#3798,91548110011,2020-11-30 08:58:21 +1100,11/30/2020,,0,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,30.33%,8.02%
#3797,76622809608,2020-11-29 23:19:42 +1100,11/29/2020,20,,Sticky Turmeric Chai - 100g,Sticky Turmeric Chai,9.5,94.62%,26.11%
#3797,76622809608,2020-11-29 23:19:42 +1100,11/29/2020,,,Raw Australian Honey - 65g,Raw Australian Honey,5.5,94.34%,46.25%
#3797,76622809608,2020-11-29 23:19:42 +1100,11/29/2020,,0,Honey Dippers,Honey Dippers,2.5,98.30%,57.21%
#3796,59606442608,2020-11-29 20:30:28 +1100,11/29/2020,18,0,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,18,1.17%,0.42%
#3795,46684600678,2020-11-29 19:54:39 +1100,11/29/2020,40,0,Tea Sampler Gift Box - With a Mesh Tea Ball Strainer,Tea Sampler Gift Box,40,40.45%,23.87%
#3794,29887663165,2020-11-29 14:25:32 +1100,11/29/2020,72.25,0,Dark Chocolate Chai - 500g,Dark Chocolate Chai,72.25,4.22%,0.45%
#3793,88461276081,2020-11-29 13:17:57 +1100,11/29/2020,76.5,,White Chocolate Chai - 50g,White Chocolate Chai,8.5,50.09%,45.42%
#3793,88461276081,2020-11-29 13:17:57 +1100,11/29/2020,,,Sweet'n'Sticky Honey Chai - 100g,Sweet'n'Sticky Honey Chai,9.5,61.19%,43.99%
#3793,88461276081,2020-11-29 13:17:57 +1100,11/29/2020,,,Dark Chocolate Chai - 50g,Dark Chocolate Chai,8.5,43.64%,36.75%
#3793,88461276081,2020-11-29 13:17:57 +1100,11/29/2020,,0,Masala Chai - 50g,Masala Chai,8,24.49%,20.02%
#3792,44521598891,2020-11-29 11:33:41 +1100,11/29/2020,19.5,0,Beeswax Wood Polish,Beeswax Wood Polish,19.5,31.09%,27.16%
#3791,89023331987,2020-11-29 09:05:52 +1100,11/29/2020,35,0,Beeswax Wraps DIY Deluxe Kit - Pink Australian Animals,Beeswax Wraps DIY Deluxe Kit,35,57.98%,7.73%
#3790,79595438514,2020-11-29 07:21:58 +1100,11/29/2020,51.5,,Stainless Steel Tea Strainers - Heart Shaped Tea Strainer,Stainless Steel Tea Strainers,6,16.76%,6.17%
#3790,79595438514,2020-11-29 07:21:58 +1100,11/29/2020,,,Raw Australian Honey - 65g,Raw Australian Honey,5.5,56.64%,3.94%
#3790,79595438514,2020-11-29 07:21:58 +1100,11/29/2020,,0,Tea Sampler Gift Box - With a Mesh Tea Ball Strainer,Tea Sampler Gift Box,40,81.56%,77.65%
#3789,51452394631,2020-11-28 17:45:30 +1100,11/28/2020,40,0,Tea Sampler Gift Box - With a Mesh Tea Ball Strainer,Tea Sampler Gift Box,40,47.49%,33.83%
#3788,32323984275,2020-11-28 15:31:10 +1100,11/28/2020,38.5,4.28,Naked Beeswax Tea Light Candles - 12 Pack,Naked Beeswax Tea Light Candles,38.5,74.99%,59.37%
#3787,94855626343,2020-11-28 11:48:44 +1100,11/28/2020,38.52,0,Sweet'n'Sticky Honey Chai - 250g,Sweet'n'Sticky Honey Chai,21.4,43.25%,13.23%
#3786,50129371513,2020-11-27 20:39:32 +1100,11/27/2020,38.5,,Beeswax Wraps DIY Deluxe Kit - Busy Bees,Beeswax Wraps DIY Deluxe Kit,29,66.87%,15.80%
#3786,50129371513,2020-11-27 20:39:32 +1100,11/27/2020,,0,Sweet'n'Sticky Honey Chai - 100g,Sweet'n'Sticky Honey Chai,9.5,93.74%,0.02%
#3785,84932883759,2020-11-27 17:40:48 +1100,11/27/2020,40,0,Tea Sampler Gift Box - With a Mesh Tea Ball Strainer,Tea Sampler Gift Box,40,99.53%,45.08%
#3784,41964897394,2020-11-27 12:46:19 +1100,11/27/2020,22.5,0,Mini Chai and Honey Gift Box - Sweet'n'Sticky Chai / Dark Chocolate Chai,Mini Chai and Honey Gift Box,22.5,3.83%,1.34%
#3783,40287629457,2020-11-27 00:30:14 +1100,11/27/2020,38.5,0,Naked Beeswax Tea Light Candles - 12 Pack,Naked Beeswax Tea Light Candles,38.5,24.91%,24.30%
#3782,96217301555,2020-11-27 00:12:58 +1100,11/27/2020,40,5.1,Tea Sampler Gift Box - With a Heart Shaped Tea Strainer,Tea Sampler Gift Box,40,40.44%,37.45%
#3781,47864413165,2020-11-26 22:35:32 +1100,11/26/2020,45.9,,Stainless Steel Tea Strainers - Stainless Steel Mesh Ball,Stainless Steel Tea Strainers,6,12.41%,3.96%
#3781,47864413165,2020-11-26 22:35:32 +1100,11/26/2020,,0,Tea 6 Pack Variety Selection,Tea 6 Pack Variety Selection,45,44.82%,27.05%
#3780,54536401167,2020-11-26 18:31:19 +1100,11/26/2020,56.5,,Beeswax Wraps DIY Deluxe Kit - Busy Bees,Beeswax Wraps DIY Deluxe Kit,29,21.75%,16.21%
#3780,54536401167,2020-11-26 18:31:19 +1100,11/26/2020,,0,*NEW* Honey Face Cleanser Pack - Cactus,*NEW* Honey Face Cleanser Pack,27.5,70.71%,65.19%
#3779,8968883194,2020-11-26 16:10:33 +1100,11/26/2020,45,0,Alpaca Wool Dryer Balls,Alpaca Wool Dryer Balls,45,70.93%,64.93%
#3778,93774416348,2020-11-26 14:07:03 +1100,11/26/2020,42.8,,Sticky Turmeric Chai - 250g,Sticky Turmeric Chai,21.4,35.08%,27.34%
#3778,93774416348,2020-11-26 14:07:03 +1100,11/26/2020,,0,Sweet'n'Sticky Honey Chai - 250g,Sweet'n'Sticky Honey Chai,21.4,7.79%,7.16%
#3777,34147195670,2020-11-26 12:57:20 +1100,11/26/2020,213.5,,Honey Lip Balms and Scrubs - Honey Lip Balm - 12g,Honey Lip Balms and Scrubs,5.5,56.03%,52.28%
#3777,34147195670,2020-11-26 12:57:20 +1100,11/26/2020,,,Honey Lip Balms and Scrubs - Honey Lip Scrub - 15g,Honey Lip Balms and Scrubs,5.5,49.84%,10.99%
#3777,34147195670,2020-11-26 12:57:20 +1100,11/26/2020,,,Honey Lip Balms and Scrubs - Choc Mint Lip Balm - 12g,Honey Lip Balms and Scrubs,5.5,55.41%,7.22%
#3777,34147195670,2020-11-26 12:57:20 +1100,11/26/2020,,,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,73.06%,32.60%
#3777,34147195670,2020-11-26 12:57:20 +1100,11/26/2020,,0,Tea Sampler Gift Box - With a Mesh Tea Ball Strainer,Tea Sampler Gift Box,40,70.98%,23.43%
#3776,91820535516,2020-11-26 12:11:11 +1100,11/26/2020,74.5,,Masala Chai - 50g,Masala Chai,8,56.38%,56.35%
#3776,91820535516,2020-11-26 12:11:11 +1100,11/26/2020,,,Honey Lip Balms and Scrubs - Honey Lip Scrub - 15g,Honey Lip Balms and Scrubs,5.5,89.40%,63.28%
#3776,91820535516,2020-11-26 12:11:11 +1100,11/26/2020,,,Honey Lip Balms and Scrubs - Honey Lip Balm - 12g,Honey Lip Balms and Scrubs,5.5,71.47%,66.15%
#3776,91820535516,2020-11-26 12:11:11 +1100,11/26/2020,,,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,16.61%,15.33%
#3776,91820535516,2020-11-26 12:11:11 +1100,11/26/2020,,0,Beeswax Leather Polish with Cocoa Butter,Beeswax Leather Polish with Cocoa Butter,17.5,14.75%,11.20%
#3775,66285500790,2020-11-25 20:18:27 +1100,11/25/2020,63,,Honey Lip Balms and Scrubs - Choc Mint Lip Balm - 12g,Honey Lip Balms and Scrubs,5.5,21.41%,5.11%
#3775,66285500790,2020-11-25 20:18:27 +1100,11/25/2020,,,Honey Dippers,Honey Dippers,2.5,21.54%,13.71%
#3775,66285500790,2020-11-25 20:18:27 +1100,11/25/2020,,,*NEW* Honey Face Cleanser Pack - Daffodils on Blue,*NEW* Honey Face Cleanser Pack,27.5,51.72%,19.60%
#3775,66285500790,2020-11-25 20:18:27 +1100,11/25/2020,,,Honey Lip Balms and Scrubs - Honey Lip Balm - 12g,Honey Lip Balms and Scrubs,5.5,64.09%,23.37%
#3775,66285500790,2020-11-25 20:18:27 +1100,11/25/2020,,0,Mini Chai and Honey Gift Box - Dark Chocolate Chai / White Chocolate Chai,Mini Chai and Honey Gift Box,22,47.43%,29.22%
#3774,65918992391,2020-11-25 19:11:18 +1100,11/25/2020,58,0,"3 Black teas, 1 honey dipper, tea strainer & soap","3 Black teas, 1 honey dipper, tea strainer & soap",58,93.38%,45.03%
#3773,47142670345,2020-11-25 17:52:21 +1100,11/25/2020,27.5,0,*NEW* Honey Face Cleanser Pack - Daffodils on Blue,*NEW* Honey Face Cleanser Pack,27.5,78.98%,27.72%
#3772,84212361479,2020-11-25 16:56:09 +1100,11/25/2020,35.5,,Honey Lip Balms and Scrubs - Honey Lip Balm - 12g,Honey Lip Balms and Scrubs,5.5,37.56%,13.38%
#3772,84212361479,2020-11-25 16:56:09 +1100,11/25/2020,,,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,84.42%,71.04%
#3772,84212361479,2020-11-25 16:56:09 +1100,11/25/2020,,0,Beeswax Wood Polish,Beeswax Wood Polish,16.5,60.72%,46.78%
#3771,43543872985,2020-11-25 10:37:19 +1100,11/25/2020,50,0,Honey and Tea Treats Gift Box - Australian Black Tea / Stainless Steel Mesh Tea Ball,Honey and Tea Treats Gift Box,50,70.73%,37.23%
#3770,28149140504,2020-11-25 09:16:34 +1100,11/25/2020,46.5,,Masala Chai - 250g,Masala Chai,36,28.46%,5.71%
#3770,28149140504,2020-11-25 09:16:34 +1100,11/25/2020,,0,French Love Tea - 50g,French Love Tea,10.5,84.71%,41.62%
#3769,5754598671,2020-11-25 07:19:52 +1100,11/25/2020,76,,Chilli Chai - 50g,Chilli Chai,8,30.43%,11.81%
#3769,5754598671,2020-11-25 07:19:52 +1100,11/25/2020,,,Dark Chocolate Chai - 50g,Dark Chocolate Chai,8.5,47.70%,30.39%
#3769,5754598671,2020-11-25 07:19:52 +1100,11/25/2020,,,Australian Grown Loose Leaf Tea - 50g,Australian Grown Loose Leaf Tea,8,3.95%,0.02%
#3769,5754598671,2020-11-25 07:19:52 +1100,11/25/2020,,0,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,23.40%,10.03%
#3768,82934462946,2020-11-24 22:01:25 +1100,11/24/2020,82.5,0,*NEW* Honey Face Cleanser Pack - Gumnuts,*NEW* Honey Face Cleanser Pack,27.5,61.88%,11.74%
#3767,44745085563,2020-11-24 20:22:41 +1100,11/24/2020,85,,Beeswax Wood Polish,Beeswax Wood Polish,16.5,43.55%,8.00%
#3767,44745085563,2020-11-24 20:22:41 +1100,11/24/2020,,,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,96.91%,70.59%
#3767,44745085563,2020-11-24 20:22:41 +1100,11/24/2020,,0,Naked Beeswax Tea Light Candles - 24 Pack,Naked Beeswax Tea Light Candles,55,28.85%,15.26%
#3766,77482938282,2020-11-24 17:37:18 +1100,11/24/2020,15.9,0,Beeswax Thread Conditioner - Sewing Accessory,Beeswax Thread Conditioner,15.9,53.88%,19.75%
#3765,60067962514,2020-11-24 16:51:07 +1100,11/24/2020,45,,Gift wrapping Service,Gift wrapping Service,5,97.54%,25.65%
#3765,60067962514,2020-11-24 16:51:07 +1100,11/24/2020,,0,Tea Sampler Gift Box - With a Heart Shaped Tea Strainer,Tea Sampler Gift Box,40,92.17%,50.87%
#3764,85203977268,2020-11-24 16:32:25 +1100,11/24/2020,11.5,0,Naked Beeswax Tea Light Candles - Glass Tea Light Holder only,Naked Beeswax Tea Light Candles,11.5,68.81%,44.94%
#3763,30481204574,2020-11-24 16:05:56 +1100,11/24/2020,15.9,0,Beeswax Thread Conditioner - Sewing Accessory,Beeswax Thread Conditioner,15.9,7.68%,1.11%
#3762,51286605544,2020-11-24 15:34:53 +1100,11/24/2020,18,0,Beeswax - Mini Blocks 100g,Beeswax,9,18.47%,7.75%
#3761,10320130949,2020-11-24 14:37:55 +1100,11/24/2020,73,,Honey Lip Balms and Scrubs - Honey Lip Balm - 12g,Honey Lip Balms and Scrubs,5.5,24.42%,20.98%
#3761,10320130949,2020-11-24 14:37:55 +1100,11/24/2020,,0,Tea Sampler Gift Box - With a Heart Shaped Tea Strainer,Tea Sampler Gift Box,40,88.28%,84.52%
#3760,42905596987,2020-11-24 09:51:24 +1100,11/24/2020,64.5,,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,71.34%,29.64%
#3760,42905596987,2020-11-24 09:51:24 +1100,11/24/2020,,,Naked Beeswax Tea Light Candles - 6 Pack,Naked Beeswax Tea Light Candles,20.5,53.92%,48.11%
#3760,42905596987,2020-11-24 09:51:24 +1100,11/24/2020,,0,Naked Beeswax Tea Light Candles - 12 Pack,Naked Beeswax Tea Light Candles,30.5,22.28%,5.37%
#3759,68840948170,2020-11-24 00:08:21 +1100,11/24/2020,20.5,0,Naked Beeswax Tea Light Candles - 6 Pack,Naked Beeswax Tea Light Candles,20.5,19.02%,17.26%
#3758,91903717224,2020-11-23 21:17:54 +1100,11/23/2020,20.5,0,Naked Beeswax Tea Light Candles - 6 Pack,Naked Beeswax Tea Light Candles,20.5,32.76%,26.29%
#3757,55111412840,2020-11-23 11:57:23 +1100,11/23/2020,74,,Beeswax Wraps DIY Starter Pack,Beeswax Wraps DIY Starter Pack,15.5,80.75%,77.57%
#3757,55111412840,2020-11-23 11:57:23 +1100,11/23/2020,,,Masala Chai - 50g,Masala Chai,8,65.34%,2.11%
#3757,55111412840,2020-11-23 11:57:23 +1100,11/23/2020,,,Rooibos Chai - 50g,Rooibos Chai,10.5,45.04%,1.62%
#3757,55111412840,2020-11-23 11:57:23 +1100,11/23/2020,,0,Sweet'n'Sticky Honey Chai - 100g,Sweet'n'Sticky Honey Chai,9.5,56.69%,12.51%
#3756,26296064453,2020-11-23 10:24:44 +1100,11/23/2020,40,4.05,Tea Sampler Gift Box - With a Mesh Tea Ball Strainer,Tea Sampler Gift Box,40,5.00%,1.86%
#3755,59531332811,2020-11-22 22:35:23 +1100,11/22/2020,36.45,,Masala Chai - 50g,Masala Chai,8,69.15%,11.11%
#3755,59531332811,2020-11-22 22:35:23 +1100,11/22/2020,,,Honey Lip Balms and Scrubs - Honey Lip Balm - 12g,Honey Lip Balms and Scrubs,5.5,13.92%,7.92%
#3755,59531332811,2020-11-22 22:35:23 +1100,11/22/2020,,0,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,54.38%,11.61%
#3754,9678315849,2020-11-22 20:21:46 +1100,11/22/2020,45.5,,Raw Australian Honey - 65g,Raw Australian Honey,5.5,22.43%,21.78%
#3754,9678315849,2020-11-22 20:21:46 +1100,11/22/2020,,0,Tea Sampler Gift Box - With a Heart Shaped Tea Strainer,Tea Sampler Gift Box,40,76.94%,38.40%
#3753,6737825060,2020-11-22 19:02:46 +1100,11/22/2020,87.5,,Gift wrapping Service,Gift wrapping Service,5,29.23%,15.48%
#3753,6737825060,2020-11-22 19:02:46 +1100,11/22/2020,,0,Honey Lip Balms and Scrubs - Honey Lip Balm - 12g,Honey Lip Balms and Scrubs,5.5,33.57%,7.28%
#3752,24005418127,2020-11-22 18:41:08 +1100,11/22/2020,51,0,Honey and Tea Treats Gift Box - Turmeric Chai - Honey Infused / Stainless Steel Mesh Tea Ball,Honey and Tea Treats Gift Box,51,44.51%,32.48%
#3751,19022879116,2020-11-22 12:33:44 +1100,11/22/2020,46,,Stainless Steel Tea Strainers - Heart Shaped Tea Strainer,Stainless Steel Tea Strainers,6,16.32%,8.07%
#3751,19022879116,2020-11-22 12:33:44 +1100,11/22/2020,,0,Tea Sampler Gift Box - With a Mesh Tea Ball Strainer,Tea Sampler Gift Box,40,45.93%,38.52%
#3750,99148851066,2020-11-22 11:27:04 +1100,11/22/2020,45,,Gift wrapping Service,Gift wrapping Service,5,1.45%,0.62%
#3750,99148851066,2020-11-22 11:27:04 +1100,11/22/2020,,0,Tea Sampler Gift Box - With a Mesh Tea Ball Strainer,Tea Sampler Gift Box,40,39.00%,13.91%
#3749,20936286762,2020-11-22 09:55:24 +1100,11/22/2020,38.5,0,Honey Lip Balms and Scrubs - Honey Lip Balm - 12g,Honey Lip Balms and Scrubs,5.5,74.03%,42.50%
#3748,43118445786,2020-11-21 23:21:06 +1100,11/21/2020,52,0,Honey and Tea Treats Gift Box - Love Tea / Stainless Steel Mesh Tea Ball,Honey and Tea Treats Gift Box,52,17.80%,3.69%
#3747,93297115974,2020-11-21 22:05:03 +1100,11/21/2020,100.5,,Tea 6 Pack Variety Selection,Tea 6 Pack Variety Selection,45,83.19%,10.74%
#3747,93297115974,2020-11-21 22:05:03 +1100,11/21/2020,,,White Chocolate Chai - 50g,White Chocolate Chai,8.5,68.90%,36.32%
#3747,93297115974,2020-11-21 22:05:03 +1100,11/21/2020,,,Dark Chocolate Chai - 50g,Dark Chocolate Chai,8.5,52.63%,37.68%
#3747,93297115974,2020-11-21 22:05:03 +1100,11/21/2020,,,Raw Australian Honey - 65g,Raw Australian Honey,5.5,13.33%,4.70%
#3747,93297115974,2020-11-21 22:05:03 +1100,11/21/2020,,,Honey Lip Balms and Scrubs - Choc Mint Lip Balm - 12g,Honey Lip Balms and Scrubs,5.5,75.05%,16.46%
#3747,93297115974,2020-11-21 22:05:03 +1100,11/21/2020,,0,*NEW* Honey Face Cleanser Pack - Little Blue Bees,*NEW* Honey Face Cleanser Pack,27.5,39.32%,22.69%
#3746,16673398069,2020-11-21 21:38:49 +1100,11/21/2020,64.2,0,Sweet'n'Sticky Honey Chai - 250g,Sweet'n'Sticky Honey Chai,21.4,99.29%,61.73%
#3745,66464409854,2020-11-21 20:40:28 +1100,11/21/2020,59,,Honey and Tea Treats Gift Box - Dark Chocolate Chai / Stainless Steel Mesh Tea Ball,Honey and Tea Treats Gift Box,50.5,25.05%,4.19%
#3745,66464409854,2020-11-21 20:40:28 +1100,11/21/2020,,0,White Chocolate Chai - 50g,White Chocolate Chai,8.5,72.14%,5.26%
#3744,74872470303,2020-11-21 18:21:33 +1100,11/21/2020,29,0,Beeswax Wraps DIY Deluxe Kit - Alpacas are the best!,Beeswax Wraps DIY Deluxe Kit,29,77.76%,14.77%
#3743,15596612670,2020-11-21 18:19:55 +1100,11/21/2020,36,,White Chocolate Chai - 50g,White Chocolate Chai,8.5,38.53%,4.66%
#3743,15596612670,2020-11-21 18:19:55 +1100,11/21/2020,,,Sweet'n'Sticky Honey Chai - 100g,Sweet'n'Sticky Honey Chai,9.5,46.15%,45.47%
#3743,15596612670,2020-11-21 18:19:55 +1100,11/21/2020,,,Sticky Turmeric Chai - 100g,Sticky Turmeric Chai,9.5,98.69%,15.87%
#3743,15596612670,2020-11-21 18:19:55 +1100,11/21/2020,,0,Golden Turmeric Chai - 50g,Golden Turmeric Chai,8.5,80.01%,16.25%
#3742,9697192511,2020-11-21 17:20:01 +1100,11/21/2020,55,,*NEW* Honey Face Cleanser Pack - Roses,*NEW* Honey Face Cleanser Pack,27.5,98.60%,78.75%
#3742,9697192511,2020-11-21 17:20:01 +1100,11/21/2020,,0,*NEW* Honey Face Cleanser Pack - Bright Pastels,*NEW* Honey Face Cleanser Pack,27.5,77.61%,3.26%
#3741,43227394687,2020-11-21 17:18:02 +1100,11/21/2020,44,0,Mini Chai and Honey Gift Box - Australian Black Tea / White Chocolate Chai,Mini Chai and Honey Gift Box,22,20.91%,11.52%
#3740,76730215080,2020-11-21 16:51:55 +1100,11/21/2020,29,0,Beeswax Wraps DIY Deluxe Kit - Alpacas are the best!,Beeswax Wraps DIY Deluxe Kit,29,51.38%,8.67%
#3739,54312568716,2020-11-21 16:40:08 +1100,11/21/2020,59.5,,Stainless Steel Tea Strainers - Heart Shaped Tea Strainer,Stainless Steel Tea Strainers,6,94.02%,32.77%
#3739,54312568716,2020-11-21 16:40:08 +1100,11/21/2020,,,Golden Turmeric Chai - 50g,Golden Turmeric Chai,8.5,59.63%,31.29%
#3739,54312568716,2020-11-21 16:40:08 +1100,11/21/2020,,,Rooibos Chai - 50g,Rooibos Chai,10.5,41.51%,38.78%
#3739,54312568716,2020-11-21 16:40:08 +1100,11/21/2020,,0,Masala Chai - 50g,Masala Chai,8,60.81%,43.30%
#3738,62567443914,2020-11-21 16:35:39 +1100,11/21/2020,40,0,Tea Sampler Gift Box - With a Mesh Tea Ball Strainer,Tea Sampler Gift Box,40,15.84%,13.03%
#3737,20676721000,2020-11-21 15:51:59 +1100,11/21/2020,45,0,Alpaca Wool Dryer Balls,Alpaca Wool Dryer Balls,45,91.39%,34.46%
#3736,80783024121,2020-11-21 15:04:44 +1100,11/21/2020,50.5,,Gift wrapping Service,Gift wrapping Service,5,58.76%,54.25%
#3736,80783024121,2020-11-21 15:04:44 +1100,11/21/2020,,,Raw Australian Honey - 65g,Raw Australian Honey,5.5,4.15%,0.21%
#3736,80783024121,2020-11-21 15:04:44 +1100,11/21/2020,,0,Tea Sampler Gift Box - With a Heart Shaped Tea Strainer,Tea Sampler Gift Box,40,85.27%,66.21%
#3735,21245853703,2020-11-21 14:28:03 +1100,11/21/2020,40,0,Tea Sampler Gift Box - With a Heart Shaped Tea Strainer,Tea Sampler Gift Box,40,15.29%,2.27%
#3734,73970654306,2020-11-21 11:45:02 +1100,11/21/2020,77.5,,Sticky Turmeric Chai - 100g,Sticky Turmeric Chai,9.5,22.58%,3.58%
#3734,73970654306,2020-11-21 11:45:02 +1100,11/21/2020,,0,Stainless Steel Tea Strainers - Stainless Steel Mesh Ball,Stainless Steel Tea Strainers,6,42.04%,10.81%
#3733,59301310169,2020-11-21 10:53:38 +1100,11/21/2020,322,,Tea Sampler Gift Box - With a Mesh Tea Ball Strainer,Tea Sampler Gift Box,40,46.76%,13.28%
#3733,59301310169,2020-11-21 10:53:38 +1100,11/21/2020,,,Raw Australian Honey - 150g,Raw Australian Honey,8.5,93.07%,69.10%
#3733,59301310169,2020-11-21 10:53:38 +1100,11/21/2020,,,Honey Dippers,Honey Dippers,2.5,35.83%,6.60%
#3733,59301310169,2020-11-21 10:53:38 +1100,11/21/2020,,0,Chilli Chai - 500g,Chilli Chai,68,37.74%,37.11%
#3732,96043619761,2020-11-21 10:33:21 +1100,11/21/2020,41,,*NEW* Honey Face Cleanser Pack - Blue Bees,*NEW* Honey Face Cleanser Pack,27.5,11.77%,11.09%
#3732,96043619761,2020-11-21 10:33:21 +1100,11/21/2020,,0,Honey Butter Balm For Dry Skin,Honey Butter Balm For Dry Skin,13.5,94.75%,82.29%
#3731,53588552892,2020-11-21 09:28:46 +1100,11/21/2020,40,0,Tea Sampler Gift Box - With a Heart Shaped Tea Strainer,Tea Sampler Gift Box,40,29.57%,4.38%
#3730,77093638608,2020-11-21 09:20:32 +1100,11/21/2020,36,0,Australian Grown Loose Leaf Tea - 250g,Australian Grown Loose Leaf Tea,36,70.69%,28.03%
#3729,83035468852,2020-11-20 20:48:42 +1100,11/20/2020,90,2.75,Beeswax Wraps DIY Blocks - 100g - 4 blocks,Beeswax Wraps DIY Blocks,45,16.21%,4.43%
